1,https://images-na.ssl-images-amazon.com/images/I/41sSa7s0mIL._AC_US218_.jpg,HP ENVY x2 12-inch Detachable Laptop with Stylus Pen and 4G LTE Qualcomm Snapdragon 835 Processor 4 GB RAM 128 GB flash storage Windows 10 (12-e091ms Silver/Blue),,,,12.0 inches | Windows 10 |  | 4.0 GB | 128 GB,,,,,,,HP,749,Notebook,Notebooks,,,,,
2,https://images-na.ssl-images-amazon.com/images/I/41yt723buQL._AC_US218_.jpg,"Dell i3567-5185BLK-PUS Inspiron 15.6"" Laptop (7th Gen Core i5 (up to 3.10 GHz) 8GB 1TB HDD) Intel HD Graphics 620 Black",,,,15.6 inches | Windows 10 |  | 8.0 GB | 1000 GB,,,,,,,Dell,484.98,Notebook,Notebooks,,,,,
3,https://images-na.ssl-images-amazon.com/images/I/41TlIKRiV4L._AC_US218_.jpg,"Dell 2018 Inspiron 13 7000 2-in-1 13.3"" Fhd Touchscreen Laptop Computer Amd Quad-Core Ryzen 5 2500U up to 3.6GHz(Beat i7-7500U) 8GB DDR4 256GB Ssd AC Wifi + BT 4.1 USB Type-C Hdmi Win",,,,13.3 inches | Windows 10 |  | 8.0 GB | 256.0 GB,,,,,,,Dell,560,Notebook,Notebooks,,,,,
4,https://images-na.ssl-images-amazon.com/images/I/513PczHTFPL._AC_US218_.jpg,ASUS 10.1” Transformer Mini T103HA-D4-GR 2 in 1 Touchscreen Laptop Intel Quad-Core 128GB SSD Grey Pen and Keyboard Included,,,,10.1 inches | Windows 10 |  | 4.0 GB | 128 GB,,,,,,,Asus,379.99,Notebook,Notebooks,,,,,
5,https://images-na.ssl-images-amazon.com/images/I/51BghuYLEbL._AC_US218_.jpg,ASUS ROG STRIX Thin and Light Gaming Laptop 15” Full HD  Intel Core i7-7700HQ Processor 16GB DDR4 RAM 256GB SSD + 1TB HDD GTX 1050 4GB RGB Keyboard GL503VD,,,,15.6 inches | Chrome OS | core Intel Core i7 | 16 GB | 1000 GB,,,,,,,Asus,1262.34,Notebook,Notebooks,,,,,
6,https://images-na.ssl-images-amazon.com/images/I/415MaHrvdUL._AC_US218_.jpg,"Acer Swift 3 8th Gen Intel Core i5-8250U NVIDIA GeForce MX150 14"" Full HD 8GB LPDDR3 256GB SSD SF314-52G-55WQ",,,,14.0 inches | Windows 10 | core Intel Core i5 | 8.0 GB | 256.0 GB,,,,,,,Acer,699.99,Notebook,Notebooks,,,,,
7,https://images-na.ssl-images-amazon.com/images/I/51bS1MQPoCL._AC_US218_.jpg,Apple MacBook Air MJVE2LL/A 13-inch Laptop 1.6GHz Core i54GB RAM128GB SSD (Certified Refurbished),,,,13.3 inches | OS X El Capitan 10.11 | core Intel Core i5 | 4.0 GB | 128.0 GB,,,,,,,Apple,565,Notebook,Notebooks,,,,,
8,https://images-na.ssl-images-amazon.com/images/I/51jnXTsJ+OL._AC_US218_.jpg,"Acer 14"" Full HD (1920 x 1080) 16:9 IPS display Chromebook (2018 Newest) Inte Celeron N3160 processor Quad-core 1.60 GHz 4GB RAM 32GB SSD 802.11ac Bluetooth HDMI Chrome OS",,,,14 inches | Chrome OS | celeron | 4.0 GB | 16.0 GB,,,,,,,Acer,272,Notebook,Notebooks,,,,,
9,https://images-na.ssl-images-amazon.com/images/I/416PawtdOLL._AC_US218_.jpg,"Dell G5587-7866BLK-PUS G5 15 5587 Gaming Laptop 15.6"" LED Display 8th Gen Intel i7 Processor 16GB Memory 128GB SSD+1TB HDD NVIDIA GeForce GTX 1050Ti Licorice Black",,,,15.6 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 128 GB,,,,,,,Dell,1079,Notebook,Notebooks,,,,,
10,https://images-na.ssl-images-amazon.com/images/I/41ksIEly8SL._AC_US218_.jpg,Apple MacBook Air MJVM2LL/A 11.6-Inch laptop(1.6 GHz Intel i5 128 GB SSD Integrated Intel HD Graphics 6000 Mac OS),,,,11.6 inches | Chrome OS | core Intel Core i5 | 4.0 GB | Solid State Drive,,,,,,,Apple,798.1,Notebook,Notebooks,,,,,
11,https://images-na.ssl-images-amazon.com/images/I/41zfabBnrLL._AC_US218_.jpg,"Dell Inspiron 15 5000 5577 GamingLaptop - (15.6"" FHD (1920x1080) Intel Quad-Core i5-7300HQ 1TB HDD 8GB DDR4 NVIDIA GTX 1050 4GB Windows 10 - Black)",,,,15.6 inches | Windows 10 | 8032 | 8.0 GB | 1000 GB,,,,,,,Dell,665.98,Notebook,Notebooks,,,,,
12,https://images-na.ssl-images-amazon.com/images/I/51MGYRkjhNL._AC_US218_.jpg,"2018 Flagship Dell Inspiron Laptop FHD IPS 15.6"" Touchscreen Intel Quad-Core i5-8250U (Beat i7-7500U) 8GB DDR4 1TB HDD DVDRW Backlit Keyboard WIFI Bluetooth Webcam Windows 10",,,,15.6 inches | Windows 10 | core Intel Core i5 | 8.0 GB | 1.0 TB,,,,,,,Dell,548,Notebook,Notebooks,,,,,
13,https://images-na.ssl-images-amazon.com/images/I/411LPGW+x-L._AC_US218_.jpg,"Huawei Kepler MateBook D 14"" - AMD R5 - 8GB+256GB Mystic Silver",,,,14.0 inches | Windows 10 | 8032 | 8.0 GB | SATA,,,,,,,Huawei,621.35,Notebook,Notebooks,,,,,
14,https://images-na.ssl-images-amazon.com/images/I/414oxdkA7UL._AC_US218_.jpg,HP High Performance 15.6 inch HD Touchscreen Backlit Keyboard Laptop PC 8th Gen Intel Core i5-8250U Quad-Core 8GB DDR4 2TB HDD + 128GB SSD DVD RW Bluetooth WIFI Windows 10,,,,15.6 inches | Windows 10 | core Intel Core i5 | 8.0 GB | 128.0 GB,,,,,,,HP,669,Notebook,Notebooks,,,,,
15,https://images-na.ssl-images-amazon.com/images/I/418mlfrJm7L._AC_US218_.jpg,"HP 17.3"" HD+ Notebook (2018 New) Intel Core i3-7100U Processor 2.4 GHz 8GB Memory 2TB Hard Drive Optical Drive HD Webcam Backlit Keyboard Windows 10 Home Marine Blue",,,,17.3 inches | Windows 10 | core Intel Core i3 | 8.0 GB | 2.0 TB,,,,,,,HP,525,Notebook,Notebooks,,,,,
16,https://images-na.ssl-images-amazon.com/images/I/41UOlGUlcEL._AC_US218_.jpg,Dell Inspiron 15 7567 Laptop: Core i5-7300HQ 256GB SSD 8GB RAM GTX 1050Ti 15.6inch Full HD Display,,,,15.6 inches | Windows 10 | Intel Core Intel Core i5 4430 | 8.0 GB | 256.0 GB,,,,,,,Dell,768.49,Notebook,Notebooks,,,,,
17,https://images-na.ssl-images-amazon.com/images/I/51S6xi0f0RL._AC_US218_.jpg,"2018 Microsoft Surface 13.5"" LCD 2256 x 1504 Touchscreen Laptop Computer Intel Core m3-7Y30 up to 2.60GHz 4GB RAM 128GB SSD Bluetooth USB 3.0 WIFI Windows 10 S",,,,13.5 inches | Windows 10 | Intel Mobile CPU | 4.0 GB | 128.0 GB,,,,,,,Microsoft,687.99,Notebook,Notebooks,,,,,
18,https://images-na.ssl-images-amazon.com/images/I/51885zliDdL._AC_US218_.jpg,"Lenovo 320 Business Laptop PC 15.6"" FHD(1920x1080) Display Intel i7-7500U 2.7GHz Processor 12GB DDR4 RAM 256GB SSD NVIDIA GeForce 940MX DolAudio HDMI Bluetooth DVD±R/RW Windows 10",,,,15.6 inches | Windows 10 Home 64-bit | core Intel Core i7 | 12 GB | 256.0 GB,,,,,,,Lenovo,764.99,Notebook,Notebooks,,,,,
19,https://images-na.ssl-images-amazon.com/images/I/41hyOzGOBeL._AC_US218_.jpg,"HP Chromebook 11 G5 11.6"" Celeron 4GB 16GB X9U02UT",,,,11.6 inches | Chrome | celeron | 4.0 GB | 16 GB,,,,,,,HP,186.7,Notebook,Notebooks,,,,,
20,https://images-na.ssl-images-amazon.com/images/I/51svyK3ruYL._AC_US218_.jpg,ASUS VivoBook E203MA Ultra Thin Laptop Intel Celeron N4000 Processor (up to 2.6 GHz) 4GB LPDDR4  64GB eMMC Flash Storage 11.6” HD Display USB-C Windows 10 S Mode E203MA-YS03,,,,11.6 inches | Windows 10 | 8032 | 4 GB | 64 GB,,,,,,,Asus,237.97,Notebook,Notebooks,,,,,
21,https://images-na.ssl-images-amazon.com/images/I/416mhoiLp7L._AC_US218_.jpg,"NEW HP Jaguar 15-bs080wm 15.6"" HD Touchscreen Intel Core i7-7500U 3.50GHz 8GB DDR4 1TB HDD DVD Webcam Windows 10",,,,15.6 inches | Windows 10 | Intel Core Intel Core i7 Extreme | 8 GB | 1.0 TB,,,,,,,HP,569,Notebook,Notebooks,,,,,
